N°de serie,Proyecto,Cliente,LDP,Fecha de fin estimada,Fecha de entrega estimada,Reprogramaciones de entrega estimada,Causas de reprogramación entrega estimada,Estado,Próximo estadío,Fecha estadío más próximo,Última fecha de entrega acordada con cliente,Registro de fechas de entrega acordada con cliente reprogramadas,Causas reprogramación entrega Cliente,Fecha de fin de equipo,Fecha de entrega final,Comentarios,Duración Planificada Fabricación,Fecha KOM (Inicio del proyecto),Fecha de entrega segun KOM,Cotizado Met,Cotizado Inox,Cotizado GyP,Cotizado Mont,Cotizado Mont E,Cotizado Total,Reales Met,Reales Inox,Reales GyP,Reales Montaje,Reales Montaje E,Reales Total,Retrasos Met,Retrasos Inox,Retrasos GyP,Retrasos Mont,Retrasos Mont E,Retrasos Total,Complejidad,KPI 1 : Hs Consumidas vs Cotizadas,KPI 2: Retraso vs Programación Inicial (días),Carga de LDPs,KPI 3: Presupuesto consumido,Carga Proyección,Comentarios
ODS 1313,REPARACIÓN TOLVA BULK POB658,SLB,0,00/01/1900,27/07/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,02/10/2024,0,0,,,,,,,,,,,,,,,,,,,,,1,,67,0,0%,0,
ODS 1314,REPARACIÓN TOLVA BULK NTT659,SLB,0,00/01/1900,27/07/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,02/10/2024,0,0,,,,,,,,,,,,,,,,,,,,,1,,67,0,0%,0,
ODS 1314,REPARACIÓN TOLVA BULK NTT659,SLB,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,02/10/2024,0,0,,,,,,,,,,,,,,,,,,,,,1,,,0,0%,0,
ODS 1315,ESTACION REGULADORA 1100NM3_H,SQM,0,00/01/1900,00/01/1900,00/01/1900,Se termina cuando arranquen pruebas de gas,Metalurgia,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1316,VISITA DE SOPORTE TÉCNICO,LATITUD 45,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1317,REVAMPING RED INTERNA DE GAS,QME,Martín Navarro,00/01/1900,00/01/1900,00/01/1900,0,Montaje,Entregado,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,0,0,0,0,0,,54,0,63,0,0,117,0,0,0,0,0,,,,,1.039720771,0%,0.025993019,
ODS 1318,MODIFICACION LARGE BORE,TENARIS,0,00/01/1900,12/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,2,,630,0,0%,0,
ODS 1319,REBUILD UH SUPERIOR,LATITUD 45,0,23/05/2025,06/06/2025,25/11/2024; 24/1/2025; 10/03/2025; 23/05,0,Entregado,0,,25/11/2024,0,0,29/05/2025,30/06/2025,Se prueba junto con blender porque lo alimenta,0,,,550,0,0,400,1000,1950,27,108,21,1136,494,1786,0,0,0,220,144,364,,91.6%,217,0,0%,0,
ODS 1320,LIGHT REBUILD FRAC PUMP #5,SLB,0,00/01/1900,30/08/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,02/09/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,3,0,0%,0,
ODS 1321,LIGHT REBUILD FRAC PUMP #6,SLB,0,00/01/1900,06/09/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,09/09/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,3,0,0%,0,
ODS 1322,LIGHT REBUILD FRAC PUMP #7,SLB,0,00/01/1900,13/09/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,20/09/2024,0,0,,,,,,,,,,,,,,,,,,,,,3,,7,0,0%,0,
ODS 1323,LIGHT REBUILD FRAC PUMP #9,SLB,0,00/01/1900,27/09/2024,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,10/10/2024,0,0,,,50,0,50,700,100,900,0,0,34,0,0,34,0,0,0,0,0,,3,3.8%,13,0,0%,0,
